"","fips","n10"
"1509",5061,3498
"1510",5063,1264
"1511",5065,242
"1512",5067,6203
"1513",5069,37692
"1514",5071,517
"1515",5073,7181
"1516",5075,750
"1517",5077,19003
"1518",5079,9967
"1519",5081,5698
"1520",5083,640
"1521",5085,11268
"1522",5087,45
"1523",5089,0
"1524",5091,7163
"1525",5093,13472
"1526",5095,12526
"1527",5097,304
"1528",5099,6790
"1529",5101,10
"1530",5103,12333
"1531",5105,910
"1532",5107,26354
"1533",5109,918
"1534",5111,2121
"1535",5113,46
"1536",5115,1867
"1537",5117,4481
"1538",5119,35462
"1539",5121,515
"1540",5123,15508
"1541",5125,1833
"1542",5127,22
"1543",5129,104
"1544",5131,5410
"1545",5133,2296
"1546",5135,83
"1547",5137,94
"1548",5139,13747
"1549",5141,220
"1550",5143,614
"1551",5145,2162
"1552",5147,11705
"1553",5149,1759
"1554",5000,442891
"1555",12001,19092
"1556",12003,1159
"1557",12007,3987
"1558",12009,1399
"1559",12013,2140
"1560",12017,3635
"1561",12019,2453
"1562",12023,8411
"1563",12025,4194
"1564",12027,2351
"1565",12031,37270
"1566",12033,15111
"1567",12037,2487
"1568",12039,14965
"1569",12047,5533
"1570",12053,2781
"1571",12057,16445
"1572",12059,1194
"1573",12063,14254
"1574",12065,13114
"1575",12067,1361
"1576",12069,3627
"1577",12071,937
"1578",12073,14726
"1579",12075,4727
"1580",12077,2111
"1581",12079,9410
"1582",12081,2346
"1583",12083,16376
"1584",12087,5842
"1585",12089,5553
"1586",12095,7604
"1587",12097,927
"1588",12099,2220
"1589",12101,2456
"1590",12105,7419
"1591",12107,6804
"1592",12109,5454
"1593",12111,865
"1594",12113,4234
"1595",12119,2255
"1596",12121,7813
"1597",12123,2689
"1598",12127,6592
"1599",12129,2384
"1600",12131,4997
"1601",12133,4965
"1602",12000,308669
"1603",13001,2863
"1604",13007,5718
"1605",13009,11005
"1606",13011,2321
"1607",13015,6348
"1608",13017,4901
"1609",13019,6263
"1610",13021,27481
